Year,State,MinWage,Patents,D_MinWage,D_MinWage_Positive,D_Patents,D_Patents_Pct,D_MinWage_L1,D_Patents_L1,D_MinWage_L2,D_Patents_L2,D_MinWage_L3,D_Patents_L3
2003,Arizona,7.24,1716,-0.16000000000000014,0,16.0,0.009411764705882453,,,,,,
2004,Arizona,7.05,1730,-0.1900000000000004,0,14.0,0.008158508158508049,-0.16000000000000014,16.0,,,,
2005,Arizona,6.82,1598,-0.22999999999999954,0,-132.0,-0.07630057803468204,-0.1900000000000004,14.0,-0.16000000000000014,16.0,,
2006,Arizona,6.61,1893,-0.20999999999999996,0,295.0,0.18460575719649563,-0.22999999999999954,-132.0,-0.1900000000000004,14.0,-0.16000000000000014,16.0
2007,Arizona,8.42,1826,1.8099999999999996,1,-67.0,-0.03539355520338083,-0.20999999999999996,295.0,-0.22999999999999954,-132.0,-0.1900000000000004,14.0
2008,Arizona,8.29,1893,-0.13000000000000078,0,67.0,0.0366922234392113,1.8099999999999996,-67.0,-0.20999999999999996,295.0,-0.22999999999999954,-132.0
2009,Arizona,8.74,1759,0.45000000000000107,1,-134.0,-0.07078711040676178,-0.13000000000000078,67.0,1.8099999999999996,-67.0,-0.20999999999999996,295.0
2010,Arizona,8.6,2169,-0.14000000000000057,0,410.0,0.23308698123934057,0.45000000000000107,-134.0,-0.13000000000000078,67.0,1.8099999999999996,-67.0
2011,Arizona,8.45,2248,-0.15000000000000036,0,79.0,0.03642231443061328,-0.14000000000000057,410.0,0.45000000000000107,-134.0,-0.13000000000000078,67.0
2012,Arizona,8.62,2370,0.16999999999999993,1,122.0,0.05427046263345203,-0.15000000000000036,79.0,-0.14000000000000057,410.0,0.45000000000000107,-134.0
2013,Arizona,8.66,2427,0.040000000000000924,1,57.0,0.02405063291139231,0.16999999999999993,122.0,-0.15000000000000036,79.0,-0.14000000000000057,410.0
2014,Arizona,8.63,2671,-0.02999999999999936,0,244.0,0.10053564070869392,0.040000000000000924,57.0,0.16999999999999993,122.0,-0.15000000000000036,79.0
2015,Arizona,8.79,2741,0.15999999999999837,1,70.0,0.026207412953949794,-0.02999999999999936,244.0,0.040000000000000924,57.0,0.16999999999999993,122.0
2002,Arkansas,7.4,213,,0,,,,,,,,
2003,Arkansas,7.24,176,-0.16000000000000014,0,-37.0,-0.17370892018779338,,,,,,
2004,Arkansas,7.05,160,-0.1900000000000004,0,-16.0,-0.09090909090909094,-0.16000000000000014,-37.0,,,,
2005,Arkansas,6.82,153,-0.22999999999999954,0,-7.0,-0.043749999999999956,-0.1900000000000004,-16.0,-0.16000000000000014,-37.0,,
